2005ke 2453755.59 16.314 .014             16.785 .077 17.189 .220 BAA
2005ke 2453756.64 16.470 .006 18.499 .055 16.966 .028 17.365 .057 DUP
2005ke 2453757.60 16.417 .016 18.452 .161 16.958 .098 17.075 .202 BAA
2005ke 2453773.59 17.119 .010 19.400 .065 17.725 .033             DUP
2005ke 2453776.57 17.179 .041 19.168 .174 17.844 .102             SWO
2005ke 2453784.51 17.429 .027 19.694 .117 18.280 .065 18.601 .153 DUP
2005ke 2453786.52 17.527 .010 19.660 .084 18.216 .056             DUP
2005ke 2453789.51 17.537 .023 19.451 .181 18.002 .289             SWO
2005ki 2453696.84 16.702 .015 16.656 .021                         SWO
2005ki 2453697.87                         16.494 .053             SWO
2005ki 2453701.84 16.139 .010 16.092 .016 16.205 .028             SWO
2005ki 2453704.87 16.305 .021                                     SWO
2005ki 2453705.88             16.277 .031                         SWO
2005ki 2453708.82 16.691 .014 16.606 .049 16.667 .037             SWO
2005ki 2453709.82 16.754 .015 16.698 .021 16.717 .044             SWO
2005ki 2453714.84 17.068 .016 17.726 .037 17.021 .047             SWO
2005ki 2453715.83 17.115 .025 17.829 .044 16.954 .040             SWO
2005ki 2453717.86                         17.026 .041             SWO
2005ki 2453719.85 16.924 .017             16.897 .040             SWO
2005ki 2453724.85 16.507 .016 17.560 .046                         SWO
2005ki 2453732.85 16.204 .012 17.359 .043                         SWO
2005ki 2453750.84 17.364 .010 18.912 .050 17.783 .023             DUP
2005ki 2453756.81 17.743 .018 19.444 .082 18.053 .047             DUP
2005na 2453753.63 17.671 .013 18.383 .032 17.617 .033             BAA
2005na 2453754.65 17.620 .013 18.390 .025 17.603 .029             BAA
2005na 2453755.64 17.581 .015 18.456 .034 17.582 .044             BAA
2005na 2453756.69 17.576 .018 18.363 .029 17.347 .032             DUP
2005na 2453757.65 17.446 .014 18.398 .034 17.368 .036             BAA
2005na 2453773.64 16.609 .008 17.549 .016 16.931 .043             DUP
2005na 2453782.58 17.053 .041             17.532 .099             SWO
2005na 2453783.56 17.178 .008 18.455 .028 17.576 .022             BAA
2005na 2453784.58 17.182 .010 18.417 .025 17.612 .052             DUP
2005na 2453785.58 17.249 .009 18.512 .028                         DUP
2005na 2453787.58 17.375 .020 18.731 .037 17.674 .029             DUP
2005na 2453789.60 17.387 .049                                     SWO
2005na 2453797.55 17.736 .050             18.073 .218             SWO
2005na 2453805.53 18.325 .016 19.763 .068 18.622 .055             BAA
2006D  2453753.87 14.459 .006 14.395 .006 14.533 .007 14.538 .015 BAA
2006D  2453756.87 14.565 .006 14.421 .007 14.597 .008 14.532 .015 BAA
2006D  2453758.87 14.764 .005 14.622 .005 14.850 .007 14.665 .014 BAA
2006D  2453773.85 15.233 .013 16.121 .006 14.944 .005 14.922 .010 DUP
2006D  2453776.86 14.994 .010 16.041 .026 14.902 .013             SWO
2006D  2453779.89 14.833 .015 15.919 .025 14.892 .020             SWO
2006D  2453782.86 14.683 .012 15.836 .023                         SWO
2006D  2453786.87 14.808 .004 15.959 .005 15.240 .005             DUP
2006D  2453789.84 15.000 .010 16.338 .019 15.477 .042             SWO
2006D  2453796.85 15.446 .013 16.991 .021 15.890 .018             SWO
2006D  2453800.86 15.704 .011             16.076 .021             SWO
2006D  2453803.88 15.872 .021 17.622 .073 16.292 .043             SWO
2006D  2453807.78 16.128 .018 17.838 .070 16.461 .037             SWO
2006D  2453813.79 16.437 .019 18.211 .051 16.689 .029             SWO
2006D  2453817.86 16.656 .018 18.579 .104 16.992 .083             SWO
2006D  2453835.77 17.537 .013 19.646 .075 17.790 .029 17.713 .061 DUP
2006D  2453845.72 17.944 .017 19.909 .094 18.381 .052 17.868 .126 DUP
2006X  2453776.83 13.510 .008 13.306 .009 13.286 .007             SWO
2006X  2453777.83 13.355 .007 13.140 .008 13.176 .008             SWO
2006X  2453779.85 13.175 .010 12.925 .012 13.038 .009             SWO
2006X  2453782.84 13.145 .012 12.850 .010 12.983 .007             SWO
2006X  2453784.83 13.268 .011 12.898 .012 13.053 .016 12.794 .009 DUP
