SN 2007S  1184.62            16.562 027 15.925 030            SWO
SN 2007S  1191.66 15.942 020 17.216 056 16.314 052            SWO
SN 2007S  1223.53            19.207 083 17.739 062 17.395 119 DUP
SN 2007S  1245.48 20.177 306 20.020 262 18.754 124 18.233 127 DUP
SN 2007af 1162.74 14.648 020 14.585 020 14.489 025            SWO
SN 2007af 1164.80 14.159 020 14.093 021 14.055 038            SWO
SN 2007af 1167.81 13.683 020 13.624 020 13.710 022            SWO
SN 2007af 1168.83 13.636 020 13.532 020 13.683 030            SWO
SN 2007af 1169.80 13.581 020 13.479 020 13.628 020 13.520 020 DUP
SN 2007af 1170.84 13.568 020 13.459 020 13.625 020 13.498 020 DUP
SN 2007af 1171.81 13.590 020 13.469 020 13.650 020 13.502 020 DUP
SN 2007af 1172.80 13.646 020 13.489 020 13.690 020 13.511 020 DUP
SN 2007af 1175.79 13.895 020 13.727 020 13.863 026            SWO
SN 2007af 1180.77 14.217 020 14.166 020 14.000 026            SWO
SN 2007af 1183.76 14.377 020 14.671 020 14.070 030            SWO
SN 2007af 1189.79 14.254 020 15.139 020 13.938 020            SWO
SN 2007af 1193.74 14.024 020 15.048 020 13.849 023            SWO
SN 2007af 1196.77 13.861 020 14.939 020 13.802 024            SWO
SN 2007af 1205.72 13.502 020 14.636 020 13.940 022            SWO
SN 2007af 1208.76 13.680 020 14.883 021 14.142 029            SWO
SN 2007af 1217.71 14.180 020 15.654 028 14.633 033            SWO
SN 2007af 1223.75 14.492 020                                  DUP
SN 2007af 1228.72 14.776 020 16.407 025 15.075 024            SWO
SN 2007af 1230.80 14.860 020 16.608 039                       SWO
SN 2007af 1233.68 15.052 020 16.803 051 15.286 035            SWO
SN 2007af 1238.68 15.307 020 16.968 042 15.453 037            SWO
SN 2007af 1244.68 15.594 020 17.445 068 15.722 037            SWO
SN 2007af 1247.67 15.744 020 17.618 073 15.916 049            SWO
SN 2007af 1255.69 16.166 020 18.002 032 16.252 020 16.140 041 DUP
SN 2007af 1257.69 16.209 020 18.264 162 16.223 077            SWO
SN 2007ai 1139.87 17.520 035 17.290 039                       SWO
SN 2007ai 1171.89 17.574 028 17.193 021 17.340 036            DUP
SN 2007ai 1172.86 17.619 024 17.160 028 17.212 034 17.064 076 DUP
SN 2007ai 1180.83 18.072 061 17.883 073 17.727 154            SWO
SN 2007ai 1184.85 18.197 066 18.198 093 17.881 184            SWO
SN 2007ai 1277.57 20.296 154 21.229 329 20.103 267 19.468 427 DUP
SN 2007ai 1280.64 20.312 285 20.585 371 19.870 297 19.245 543 DUP
SN 2007as 1175.58 16.123 020 16.020 022 16.176 063            SWO
SN 2007as 1180.58 16.114 020 15.954 020 16.220 052            SWO
SN 2007as 1183.60 16.424 020 16.204 024 16.363 050            SWO
SN 2007as 1193.55 16.960 031 17.670 084 16.857 078            SWO
SN 2007as 1208.51 15.964 020 16.999 049 16.332 061            SWO
SN 2007as 1219.54 16.605 022 17.995 100 16.947 090            SWO
SN 2007as 1224.47 16.902 020 18.294 038 17.367 031            DUP
SN 2007as 1230.66 17.249 031 18.948 203 17.582 175            SWO
SN 2007as 1238.45 17.767 125 18.678 416 17.673 410            SWO
SN 2007as 1244.53 18.017 114 19.181 429                       SWO
SN 2007as 1255.56 18.607 065            18.908 273            DUP
SN 2007ax 1184.54 15.867 021 14.543 065 15.282 042            SWO
SN 2007ax 1191.60 15.207 020 14.599 053 15.215 078            SWO
SN 2007ax 1196.53 15.230 020 14.713 058 15.232 088            SWO
SN 2007ax 1205.52 15.636 020                                  SWO
SN 2007ax 1219.46 16.713 026 16.743 102                       SWO
SN 2007ax 1222.47 16.877 025 18.239 042                       DUP
SN 2007ax 1230.46 17.364 057 18.689 273 16.487 090            SWO
SN 2007ax 1248.46 18.087 133                                  SWO
SN 2007ba 1191.80 17.974 061 17.839 102 17.932 250            SWO
SN 2007ba 1193.81 17.703 036 17.660 058 17.662 133            SWO
SN 2007ba 1196.82 17.535 026 17.630 057 17.545 141            SWO
SN 2007ba 1198.79 17.541 026 17.663 047                       SWO
SN 2007ba 1205.78 17.831 030            18.118 157            SWO
SN 2007ba 1208.82 17.852 032            18.154 219            SWO
SN 2007ba 1217.78 17.685 027 18.575 113                       SWO
SN 2007ba 1221.81 17.879 021 18.870 066 18.256 171            DUP
SN 2007ba 1228.79 18.394 063 19.810 457                       SWO
SN 2007ba 1234.74 18.802 118                                  SWO
SN 2007ba 1238.74 18.960 132                                  SWO
SN 2007ba 1244.75 19.076 136                                  SWO
SN 2007ba 1245.77 19.246 052 20.718 275 19.218 220            DUP
SN 2007ba 1247.72 19.204 157                                  SWO
SN 2007ba 1254.75 19.590 133            19.253 442            DUP
SN 2007ba 1257.76 19.387 289                                  SWO
SN 2007bc 1196.65            16.305 025                       SWO
SN 2007bc 1198.65 16.343 020 16.314 021 16.584 067            SWO
SN 2007bc 1205.64 16.861 025 16.867 037 16.808 079            SWO
SN 2007bc 1208.64 16.997 025 17.401 052                       SWO
SN 2007bc 1219.61 16.544 020            16.748 068            SWO
SN 2007bc 1222.66 16.447 020                                  DUP
SN 2007bc 1230.54 16.277 021 17.349 056                       SWO
SN 2007bc 1234.56 16.508 029            17.039 126            SWO
SN 2007bc 1238.58 16.709 040 18.047 141                       SWO
SN 2007bc 1245.55 17.066 020 18.581 040 17.581 048            DUP
SN 2007bc 1254.52 17.548 035 19.261 398 18.094 200            DUP
SN 2007bc 1258.52 17.813 066                                  SWO
SN 2007bd 1198.54 17.377 035 17.398 070 17.511 150            SWO
SN 2007bd 1201.54 17.047 031 16.989 055 17.206 146            SWO
SN 2007bd 1205.58 17.185 037 17.129 054 17.470 185            SWO
SN 2007bd 1208.47 17.421 045 17.365 067                       SWO
SN 2007bd 1217.48 18.030 058                                  SWO
SN 2007bd 1220.50 17.999 069            18.051 204            SWO
SN 2007bd 1223.47 17.914 020 18.814 069 17.919 054            DUP
SN 2007bd 1225.46 17.704 020 18.800 075 17.913 056            DUP
SN 2007bd 1228.48 17.489 051 18.697 204                       SWO
SN 2007bd 1234.49 17.069 035                                  SWO
SN 2007bd 1244.47 17.605 047 18.958 280                       SWO
SN 2007bd 1247.49 17.857 070            18.198 345            SWO
SN 2007bd 1254.47            19.390 447                       DUP
SN 2007ca 1217.63 16.276 020 16.122 021 16.066 031            SWO
SN 2007ca 1224.71 15.845 020 15.572 020 15.718 020            DUP
SN 2007ca 1228.60 16.096 020 15.756 020 15.946 036            SWO
SN 2007ca 1233.63 16.573 035 16.209 029 15.992 076            SWO
SN 2007ca 1237.72 16.677 059 16.840 197                       SWO
SN 2007ca 1238.62 16.840 026 16.942 048 16.173 047            SWO
SN 2007ca 1254.69 16.062 020 17.035 020 15.867 020            DUP
SN 2007ca 1258.66 15.843 020 16.861 037 15.860 038            SWO
SN 2007ca 1274.65 16.343 020                                  DUP
SN 2007ca 1275.64 16.396 020                                  DUP
SN 2007hx 1355.84 19.279 102 19.268 196                       SWO
SN 2007hx 1362.88            20.173 255 19.332 280            DUP
SN 2007hx 1364.82 19.667 076 20.488 202 19.268 138            DUP
SN 2007hx 1365.80 19.716 062 20.366 210 19.538 240            DUP
SN 2007hx 1367.80 19.743 052 20.692 126                       DUP
SN 2007hx 1379.80 19.279 085 20.099 422                       SWO
SN 2007hx 1386.72 19.170 071            19.366 452            SWO
SN 2007hx 1387.72 19.192 108                                  SWO
SN 2007hx 1393.72 19.339 105 19.823 334                       SWO
SN 2007if 1355.75 17.768 039 17.989 068 17.936 170            SWO
SN 2007if 1363.67 17.841 020 18.316 026 18.091 048            DUP
SN 2007if 1365.69 17.821 020 18.310 028 18.098 060            DUP
SN 2007if 1367.75 17.787 020 18.271 021 18.006 039            DUP
SN 2007if 1369.71 17.672 030 18.371 092                       SWO
SN 2007if 1379.70 17.694 031            18.051 156            SWO
SN 2007if 1423.65 18.806 038 19.822 110                       DUP
SN 2007if 1434.64 19.158 044 19.943 128                       DUP
SN 2007jg 1363.83 17.681 022 17.596 021 17.888 070            DUP
SN 2007jg 1365.90 17.791 020 17.734 020                       DUP
SN 2007jg 1377.77 18.502 052 19.148 200                       SWO
SN 2007jg 1386.84 18.211 041                                  SWO
SN 2007jg 1387.82            18.753 171                       SWO
SN 2007jg 1396.74 17.796 021            18.304 213            SWO
SN 2007jg 1399.79 17.916 030            18.354 255            SWO
SN 2007jg 1422.78 19.188 039 20.050 123 19.705 263            DUP
SN 2007jg 1425.71 19.392 040 20.354 176 19.786 212            DUP
SN 2007le 1388.55 14.516 020 14.413 020 14.474 020            SWO
SN 2007le 1393.60 13.928 020 13.791 020 13.986 020            SWO
SN 2007le 1396.63 13.989 020 13.779 020 14.001 020            SWO
SN 2007le 1399.62 14.216 020 13.912 020 14.099 020            SWO
SN 2007le 1402.61 14.479 020 14.120 020 14.209 020            SWO
SN 2007le 1408.68 14.805 020 14.894 020 14.359 020            SWO
SN 2007le 1410.61 14.841 020 15.268 020 14.436 020            SWO
SN 2007le 1415.56 14.668 020 15.538 020 14.342 020            SWO
SN 2007le 1426.65 13.903 020 14.953 020 14.011 020            DUP
SN 2007le 1434.57 13.801 020 14.933 020 14.278 020            DUP
SN 2007le 1439.60 14.116 020 15.406 020 14.555 020            SWO
SN 2007le 1444.52 14.387 020 15.801 020 14.837 020            SWO
SN 2007le 1448.55 14.608 020 16.088 022 14.998 020            SWO
SN 2007le 1454.52 14.933 020 16.450 031 15.239 020            SWO
SN 2007le 1463.53 15.422 020 16.970 043                       SWO
SN 2007le 1467.53 15.650 020 17.284 023 15.761 020            DUP
SN 2007le 1469.53 15.771 020 17.421 028 15.845 020            DUP
SN 2007nq 1399.68 17.896 071 17.893 107 17.637 203            SWO
SN 2007nq 1402.67 18.053 048 18.233 102 18.198 198            SWO
SN 2007nq 1408.74 18.301 117                                  SWO
SN 2007nq 1410.66 18.258 083                                  SWO
SN 2007nq 1412.65 18.160 059 19.122 290                       SWO
SN 2007nq 1415.68 17.974 049 18.960 265                       SWO
SN 2007nq 1421.63 17.662 020 18.488 026 18.118 052            DUP
SN 2007nq 1424.67 17.733 063 18.444 196                       SWO
SN 2007nq 1427.66 17.966 020 18.920 042 18.709 075            DUP
SN 2007nq 1431.63 18.170 046 19.066 254                       SWO
SN 2007nq 1437.64 18.560 064                                  SWO
SN 2007nq 1439.66 18.651 071                                  SWO
SN 2007nq 1442.65 18.922 070                                  SWO
SN 2007nq 1444.65 18.809 073                                  SWO
SN 2007nq 1448.61 19.223 099                                  SWO
SN 2007nq 1457.59 19.617 048 21.006 190                       DUP
SN 2007nq 1458.53 19.644 034 21.322 266                       DUP
SN 2007nq 1465.57 19.743 092                                  SWO
SN 2007nq 1467.58 20.084 082                                  DUP
SN 2007on 1410.72 14.418 020 14.348 020 14.249 020            SWO
SN 2007on 1412.72 13.829 020 13.729 020 13.735 020            SWO
SN 2007on 1415.74 13.311 020 13.218 020                       SWO
SN 2007on 1421.71 13.393 020 13.234 020 13.345 020 15.916 020 DUP
SN 2007on 1422.84 13.464 020                                  DUP
SN 2007on 1423.75 13.519 020 13.479 020                       DUP
SN 2007on 1424.72 13.561 020 13.639 020 13.456 020            SWO
SN 2007on 1425.77 13.640 020 13.806 020                       DUP
SN 2007on 1426.78 13.677 020 13.941 020 13.530 020 16.174 020 DUP
SN 2007on 1427.72 13.663 020 14.056 020 13.528 020 16.165 020 DUP
SN 2007on 1428.72 13.663 020 14.139 020 13.499 020 16.059 020 DUP
SN 2007on 1431.71 13.514 020 14.238 020 13.427 020            SWO
SN 2007on 1432.67 13.462 020 14.239 020 13.389 020            SWO
SN 2007on 1437.71 13.199 020 14.044 020 13.416 020            SWO
