SN2010ag        255.97330  31.50152 UGC_10679                      Sb(f)          0.033791 0.000175 NED_21-cm_or_Opt_Smallest_Error CBET_2195                    POSS               CBET_2196                     Ia
SN2010ai        194.84999  27.99646 SDSS_J125925.04+275948.2       E              0.018369 0.000123 NED_Host_Galaxy_Name            CBET_2200                    ROTSE-III,_Itagaki CBET_2200                     Ia
SN2010cr        202.35442  11.79637 NGC_5177                       S0             0.02157  0.000097 NED_Host_Galaxy_Name            CBET_2281                    Itagaki,_PTF       ATEL_2580                     Ia
SN2010dl        323.75440  -0.51345 IC_1391                        -999           0.030034 0.00015  NED_Host_Galaxy_Name            CBET_2296                    CSS                CBET_2298                     Ia
PTF10icb        193.70484  58.88198 MCG_+10-19-1                   -999           0.008544 0.000008 NED_21-cm_or_Opt_Smallest_Error ATEL_2657                    PTF                ATEL_2657                     Ia
SN2010dw        230.66775  -5.92125 2MASX_J15224062-0555214        -999           0.03812  0.00015  NED_Host_Galaxy_Name            CBET_2310                    PIKA               CBET_2311                     Ia
SN2010ew        279.29933  30.63026 CGCG_173-018                   S              0.025501 0.000127 NED_Host_Galaxy_Name            CBET_2345                    POSS               CBET_2356                     Ia
SN2010ex        345.04505  26.09894 CGCG_475-019                   Compact        0.022812 0.000005 NED_Host_Galaxy_Name            CBET_2348                    Ciabattari+        CBET_2353                     Ia
SN2010gn        259.45832  40.88128 SDSS_J171750.05+405252.5       Disk_Gal       0.0365   0.0058   NED_Host_Galaxy_Name            ATEL_2718,ATEL_2720          PTF                CBET_2386,CBET_2385           Ia
SN2010iw        131.31205  27.82325 UGC_4570                       SABdm          0.021498 0.000017 NED_Host_Galaxy_Name            CBET_2505                    CSS                CBET_2511                     Ia?
SN2010ju         85.48321  18.49746 UGC_3341                       SBab           0.015244 0.000013 NED_Host_Galaxy_Name            CBET_2549                    LOSS               CBET_2550                     Ia
SN2010jv        111.86051  33.81143 NGC_2379                       SA0            0.013469 0.000083 NED_Host_Galaxy_Name            CBET_2549                    LOSS               CBET_2550                     Ia
SN2010kg         70.03505   7.34995 NGC_1633                       SAB(s)ab       0.016632 0.000007 NED_21-cm_or_Opt_Smallest_Error CBET_2561                    LOSS               CBET_2561,CBET_2565           Ia
SN2011B         133.95016  78.21693 NGC_2655                       SAB(s)0/a      0.00467  0.000003 NED_Host_Galaxy_Name            CBET_2625,ATEL_3395          Itagaki            CBET_2625                     Ia
SN2011K          71.37662  -7.34808 CSS_J044530.38-072054.7        -999           0.0145   0.001    CfA_Optical_Spectrum            CBET_2636                    CSS                CBET_2636                     Ia
SN2011aa        114.17727  74.44319 UGC_3906                       S              0.012512 0.000033 NED_21-cm_or_Opt_Smallest_Error CBET_2653                    POSS               CBET_2653,brown14             Iap?
SN2011ae        178.70514 -16.86280 MCG_-03-30-19                  -999           0.006046 0.000019 NED_Host_Galaxy_Name            CBET_2658                    CSS                CBET_2658                     Ia
SN2011ao        178.46267  33.36277 IC_2973                        SB(s)d         0.010694 0.000002 NED_21-cm_or_Opt_Smallest_Error CBET_2669                    POSS               CBET_2669                     Ia
SN2011at        142.23977 -14.80573 MCG_-02-24-27                  SB(s)d         0.006758 0.00002  NED_Host_Galaxy_Name            CBET_2676,AAVS0_432          POSS               CBET_2676                     Ia
SN2011by        178.93951  55.32592 NGC_3972                       SA(s)bc        0.002843 0.000005 NED_Host_Galaxy_Name            CBET_2708,AAVSO_439          Jin+               CBET_2708                     Ia
SN2011de        235.97179  67.76196 UGC_10018                      (R')SB(s)bc    0.029187 0.000017 NED_21-cm_or_Opt_Smallest_Error CBET_2728                    POSS               CBET_2728                     Iap?
SN2011df        291.89008  54.38632 NGC_6801                       SAcd           0.014547 0.000019 NED_21-cm_or_Opt_Smallest_Error CBET_2729                    POSS               CBET_2729,CBET_2730           Ia
